Qty,Value,Device,Package,Parts,Description
1,,10-XX,B3F-10XX,S1,OMRON SWITCH
4,,2N4124-NPN-TO92-CBE,TO92-CBE,"T1, T2, T3, T4",NPN Transistror
1,,78XXS,78XXS,IC2,VOLTAGE REGULATOR
1,,LED5MM,LED5MM,LED1,LED
2,,SCHOTTKY-DIODEDO41-7,DO41-7,"D1, D2",Schottky Diode
9,0.1uF,C-EU050-025X075,C050-025X075,"C1, C3, C4, C5, C8, C10, C11, C12, C13","CAPACITOR, European symbol"
1,0.33uF,C-EU050-025X075,C050-025X075,C6,"CAPACITOR, European symbol"
4,10,R-US_0207/2V,0207/2V,"R6, R10, R14, R16","RESISTOR, American symbol"
1,10k,R-US_0207/2V,0207/2V,R20,"RESISTOR, American symbol"
4,10k,TRIM_US-CT6,CT6,"R4, R9, R13, R19",POTENTIOMETER
4,10uF,C-EU050-025X075,C050-025X075,"C14, C15, C16, C17","CAPACITOR, European symbol"
1,10uF,CPOL-USE2.5-5,"E2,5-5",C9,"POLARIZED CAPACITOR, American symbol"
4,1k,R-US_0207/2V,0207/2V,"R5, R8, R12, R18","RESISTOR, American symbol"
5,220,R-US_0207/2V,0207/2V,"R3, R7, R11, R15, R17","RESISTOR, American symbol"
1,220uF,CPOL-USE2.5-6,"E2,5-6",C2,"POLARIZED CAPACITOR, American symbol"
1,47uF,CPOL-USE2-4,E2-4,C7,"POLARIZED CAPACITOR, American symbol"
1,ARDUINO-NANO-3.0,ARDUINO-NANO-3.0,ARDUINO-NANO-3.0,M1,Arduino Nano 3.0 and compatible devices
2,DC_MOTOR,DC_MOTOR,DC_MOTOR,"U$1, U$2",
1,GY-521MPU6050,GY-521MPU6050,GY-521,U1,
1,HC-05,HC-05,HC-05,U$9,
4,IR_DISTANCE_1X2,IR_DISTANCE_1X2,IR_DISTANCE_1X2,"U$3, U$6, U$7, U$8",
1,JST_POWER,JST_POWER,JST_POWER,U$12,
2,K3-1260D,K3-1260D,K3-1260D,"U$4, U$10",
1,L293D,L293D,DIL16,IC1,PUSH-PULL 4 CHANNEL DRIVER
8,TPPAD1-13,TPPAD1-13,P1-13,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",Test pad
1,XT30-M,XT30-M,XT30-M,U$5,
